IDs,canonical_smiles,pIC50,charge
CHEMBL4443234,Cc1cccc(CC(=O)Nc2ccc(Oc3cccc(Cl)c3)c(S(N)(=O)=O)c2)c1,7.2839966563652006,0
CHEMBL4522504,Cc1ccccc1CC(=O)Nc1ccc(Oc2cccc(Cl)c2)c(S(N)(=O)=O)c1,8.0,0
CHEMBL4557633,O=C1CC(=O)N(c2ccc(NS(=O)(=O)Cc3ccccc3Cl)cc2)c2ccc3ccccc3c2N1,7.267606240177032,0
CHEMBL4513970,Cc1c(-c2cccc(-c3nnn[nH]3)c2)c2[nH]c3ccccc3c2[nH]c1=O,7.0,0
CHEMBL1532400,CC(C)c1cc(Br)c(NC(=O)Nc2cccnc2)c(Br)c1,6.107905397309519,0
CHEMBL4464823,O=C(Cc1ccccc1I)Nc1ccc(N2C(=O)CC(=O)Nc3c2ccc2ccccc32)cc1,6.366531544420414,0
CHEMBL4462656,O=C1CC(=O)N(c2cccc(-c3noc(=S)[n-]3)c2)c2ccc3ccccc3c2N1.[Na+],6.585026652029182,0
CHEMBL4525343,N.N.N.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2OC3(CCCCC3)O[C@H]21,4.528708288941061,0
CHEMBL4463334,N.N.N.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2O[C@@H](c3ccccc3)O[C@H]21,4.958607314841775,0
CHEMBL4456926,N.N.N.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2O[C@H](c3ccccc3)O[C@H]21,4.906578314837765,0
CHEMBL4561510,N.N.N.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2OCO[C@H]21,4.0,0
CHEMBL4462568,CC1(C)O[C@@H]2[C@H](O1)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]2n1cnc2c(N)ncnc21.N.N.N.N,4.318758762624412,0
CHEMBL4463578,N.N.N.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)OP(=O)(O)O)[C@H]2OC3(CCCCC3)O[C@H]21,4.0,0
CHEMBL4570607,CC1(C)O[C@@H]2[C@H](O1)[C@@H](COC(=O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O)O[C@H]2n1cnc2c(N)ncnc21,4.522878745280337,0
CHEMBL4440260,CC1(C)O[C@@H]2[C@H](O1)[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)O[C@H]2n1cnc2c(N)ncnc21,4.0,0
CHEMBL536151,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,6.806875401645539,0
CHEMBL461542,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc1O,6.809668301829708,0
CHEMBL2338695,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cccc(Cl)c1O,7.311580177997289,0
CHEMBL2338696,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccc(Cl)cc1O,6.679853713888946,0
CHEMBL4644398,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cccc(F)c1O,5.0,0
CHEMBL2338686,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccc2ccccc2c1O,6.137272471682025,0
CHEMBL589733,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(Cl)ccc1O,6.270025714300444,0
CHEMBL2088014,O=C(Nc1ccc(C(F)(F)F)cc1)c1cc(Cl)ccc1O,5.823908740944319,0
CHEMBL4640175,O=C(Nc1cc([N+](=O)[O-])cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,7.370590400897282,0
CHEMBL2179173,O=C(Nc1cc(Cl)cc(Cl)c1)c1cc(Cl)ccc1O,6.147520006363144,0
CHEMBL2179174,O=C(Nc1cc(F)cc(F)c1)c1cc(Cl)ccc1O,6.809668301829708,0
CHEMBL2088011,O=C(Nc1cccc(Cl)c1)c1cc(Cl)ccc1O,6.869666231504994,0
CHEMBL3985699,CC(C)Oc1ccc(Nc2nc(=O)n(CC(C)(C)C(=O)O)c(=O)n2Cc2ccc(Cl)cc2)cc1F,4.522878745280337,0
CHEMBL4748113,Cc1ccc(Cn2c(Nc3ccc(OC(C)C)c(Cl)c3)nc(=O)n(CCC(=O)O)c2=O)cc1,4.522878745280337,0
CHEMBL5073093,C[C@@H](Cn1c(=O)[nH]/c(=N\c2ccc(Oc3ccsn3)cc2)n(Cc2ccc(Cl)cc2)c1=O)C(=O)O,4.522878745280337,0
CHEMBL5084939,C[C@@H](Cn1c(=O)[nH]/c(=N\c2ccc(Oc3ccccn3)cc2)n(Cc2ccc(Cl)cc2)c1=O)C(=O)O,4.522878745280337,0
CHEMBL5084053,C[C@@H](Cn1c(=O)[nH]/c(=N\c2ccc(Oc3ccnc(F)c3)cc2)n(Cc2ccc(Cl)cc2)c1=O)C(=O)O,4.522878745280337,0
CHEMBL337395,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2OC3(O[C@H]21)C([N+](=O)[O-])=CC([N+](=O)[O-])C=C3[N+](=O)[O-],5.557520230935552,0
CHEMBL5198714,Cc1ccc2ccc3c(c2c1)NC(=O)CC(=O)N3c1cccc(-c2noc(=S)[n-]2)c1.[Na+],4.747146969020107,0
CHEMBL5183364,Cc1ccc2c3c(ccc2c1)N(c1cccc(-c2noc(=S)[n-]2)c1)C(=O)CC(=O)N3.[Na+],5.860120913598763,0
CHEMBL5209437,CCN(CC)CC.O=C1CC(=O)N(c2cccc(-c3noc(=S)[nH]3)c2)c2cc(Br)c3ccccc3c2N1,5.021819483062586,0
CHEMBL5172632,CCN(CC)CC.Cc1ccc2c(Br)cc3c(c2c1)NC(=O)CC(=O)N3c1cccc(-c2noc(=S)[nH]2)c1,4.928117992693875,0
CHEMBL5196647,CCN(CC)CC.[N-]=[N+]=NCc1ccc2c3c(ccc2c1)N(c1cccc(-c2noc(=S)[nH]2)c1)C(=O)CC(=O)N3,4.671620396561262,0
CHEMBL5202820,CCN(CC)CC.O=C1CC(=O)N(c2cccc(-c3noc(=S)[nH]3)c2)c2cc(-c3ccccc3)c3ccccc3c2N1,4.684029654543083,0
CHEMBL5182981,CCN(CC)CC.CCc1cc2c(c3ccccc13)NC(=O)CC(=O)N2c1cccc(-c2noc(=S)[nH]2)c1,5.289882634888183,0
CHEMBL5200459,CCN(CC)CC.Cc1cc(-c2noc(=S)[nH]2)cc(N2C(=O)CC(=O)Nc3c2ccc2ccccc32)c1,4.853871964321762,0
CHEMBL5198347,CCN(CC)CC.O=C1CC(=O)N(c2cc(-c3noc(=S)[nH]3)ccn2)c2ccc3ccccc3c2N1,4.8696662315049934,0
CHEMBL5184461,CCN(CC)CC.O=C1CC(=O)N(c2cncc(-c3noc(=S)[nH]3)c2)c2ccc3ccccc3c2N1,4.835647144215563,0
CHEMBL5179436,CCN(CC)CC.O=C1CC(=O)N(c2ccnc(-c3noc(=S)[nH]3)c2)c2ccc3ccccc3c2N1,6.298432014944073,0
CHEMBL5194243,CCN(CC)CC.O=C1CC(=O)N(c2cccc(-c3noc(=S)[nH]3)n2)c2ccc3ccccc3c2N1,5.188424994129407,0
