IDs,canonical_smiles,IC50
CHEMBL4462568,CC1(C)O[C@@H]2[C@H](O1)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]2n1cnc2c(N)ncnc21.N.N.N.N,48000.0
CHEMBL4463578,N.N.N.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)OP(=O)(O)O)[C@H]2OC3(CCCCC3)O[C@H]21,100000.0
CHEMBL4570607,CC1(C)O[C@@H]2[C@H](O1)[C@@H](COC(=O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O)O[C@H]2n1cnc2c(N)ncnc21,30000.0
CHEMBL4440260,CC1(C)O[C@@H]2[C@H](O1)[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)O[C@H]2n1cnc2c(N)ncnc21,100000.0
CHEMBL536151,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,156.0
CHEMBL461542,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc1O,155.0
CHEMBL2338695,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cccc(Cl)c1O,48.8
CHEMBL2338696,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccc(Cl)cc1O,209.0
CHEMBL4644398,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cccc(F)c1O,10000.0
CHEMBL2338686,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccc2ccccc2c1O,729.0
CHEMBL589733,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(Cl)ccc1O,537.0
CHEMBL2088014,O=C(Nc1ccc(C(F)(F)F)cc1)c1cc(Cl)ccc1O,1500.0
CHEMBL4640175,O=C(Nc1cc([N+](=O)[O-])cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,42.6
CHEMBL2179173,O=C(Nc1cc(Cl)cc(Cl)c1)c1cc(Cl)ccc1O,712.0
CHEMBL2179174,O=C(Nc1cc(F)cc(F)c1)c1cc(Cl)ccc1O,155.0
CHEMBL2088011,O=C(Nc1cccc(Cl)c1)c1cc(Cl)ccc1O,135.0
CHEMBL3985699,CC(C)Oc1ccc(Nc2nc(=O)n(CC(C)(C)C(=O)O)c(=O)n2Cc2ccc(Cl)cc2)cc1F,30000.0
CHEMBL4748113,Cc1ccc(Cn2c(Nc3ccc(OC(C)C)c(Cl)c3)nc(=O)n(CCC(=O)O)c2=O)cc1,30000.0
CHEMBL5073093,C[C@@H](Cn1c(=O)[nH]/c(=N\c2ccc(Oc3ccsn3)cc2)n(Cc2ccc(Cl)cc2)c1=O)C(=O)O,30000.0
CHEMBL5084939,C[C@@H](Cn1c(=O)[nH]/c(=N\c2ccc(Oc3ccccn3)cc2)n(Cc2ccc(Cl)cc2)c1=O)C(=O)O,30000.0
CHEMBL5084053,C[C@@H](Cn1c(=O)[nH]/c(=N\c2ccc(Oc3ccnc(F)c3)cc2)n(Cc2ccc(Cl)cc2)c1=O)C(=O)O,30000.0
CHEMBL337395,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2OC3(O[C@H]21)C([N+](=O)[O-])=CC([N+](=O)[O-])C=C3[N+](=O)[O-],2770.0
CHEMBL5198714,Cc1ccc2ccc3c(c2c1)NC(=O)CC(=O)N3c1cccc(-c2noc(=S)[n-]2)c1.[Na+],17900.0
CHEMBL5183364,Cc1ccc2c3c(ccc2c1)N(c1cccc(-c2noc(=S)[n-]2)c1)C(=O)CC(=O)N3.[Na+],1380.0
CHEMBL5209437,CCN(CC)CC.O=C1CC(=O)N(c2cccc(-c3noc(=S)[nH]3)c2)c2cc(Br)c3ccccc3c2N1,9510.0
CHEMBL5172632,CCN(CC)CC.Cc1ccc2c(Br)cc3c(c2c1)NC(=O)CC(=O)N3c1cccc(-c2noc(=S)[nH]2)c1,11800.0
CHEMBL5196647,CCN(CC)CC.[N-]=[N+]=NCc1ccc2c3c(ccc2c1)N(c1cccc(-c2noc(=S)[nH]2)c1)C(=O)CC(=O)N3,21300.0
CHEMBL5202820,CCN(CC)CC.O=C1CC(=O)N(c2cccc(-c3noc(=S)[nH]3)c2)c2cc(-c3ccccc3)c3ccccc3c2N1,20700.0
CHEMBL5182981,CCN(CC)CC.CCc1cc2c(c3ccccc13)NC(=O)CC(=O)N2c1cccc(-c2noc(=S)[nH]2)c1,5130.0
CHEMBL5200459,CCN(CC)CC.Cc1cc(-c2noc(=S)[nH]2)cc(N2C(=O)CC(=O)Nc3c2ccc2ccccc32)c1,14000.0
CHEMBL5198347,CCN(CC)CC.O=C1CC(=O)N(c2cc(-c3noc(=S)[nH]3)ccn2)c2ccc3ccccc3c2N1,13500.0
CHEMBL5184461,CCN(CC)CC.O=C1CC(=O)N(c2cncc(-c3noc(=S)[nH]3)c2)c2ccc3ccccc3c2N1,14600.0
CHEMBL5179436,CCN(CC)CC.O=C1CC(=O)N(c2ccnc(-c3noc(=S)[nH]3)c2)c2ccc3ccccc3c2N1,503.0
CHEMBL5194243,CCN(CC)CC.O=C1CC(=O)N(c2cccc(-c3noc(=S)[nH]3)n2)c2ccc3ccccc3c2N1,6480.0
CHEMBL5197509,COc1ccc(C(=O)O[C@@H]2[C@H](OC(=O)c3ccc(OC)cc3)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]2n2cnc3c(N)ncnc32)cc1,100000.0
CHEMBL4576110,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1F,2754.23
CHEMBL4582937,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1N,100000.0
CHEMBL3142844,CO[C@@H]1[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cnc2c(N)ncnc21,100000.0
CHEMBL4441501,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@@H]1O,10471.29
CHEMBL1160555,O=P(O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(Cl)ncnc32)[C@H](O)[C@@H]1O,100000.0
CHEMBL4583478,O=P(O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(S)ncnc32)[C@H](O)[C@@H]1O,100000.0
CHEMBL1199042,CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,100000.0
CHEMBL5171786,CCCCNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,100000.0
CHEMBL5202979,O=P(O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(Nc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,891.25
